ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
ANDERSH01 ,1998,Shandon,Anderson,UTA,gp-r,minutes-r,pts-r,oreb-r,dreb-r,reb-r,asts-mr,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-r,tpm-r,NO
ANSTECH01 ,1998,Chris,Anstey,DAL,gp-r,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ANTHOGR01 ,1998,Greg,Anthony,POR,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-r,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-b,tpm-b,NO
ARMSTBJ01 ,1998,B.j.,Armstrong,ORL,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ARMSTBJ01 ,1998,B.j.,Armstrong,CHA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ARMSTBJ01 ,1998,B.j.,Armstrong,TOT,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-r,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ARMSTDA01 ,1998,Darrell,Armstrong,ORL,gp-r,minutes-b,pts-b,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
ASKINKE01 ,1998,Keith,Askins,MIA,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-r,tpm-mr,NO
AUGMOST01 ,1998,Stacey,Augmon,POR,gp-r,minutes-r,pts-mr,oreb-r,dreb-r,reb-r,asts-r,stl-b,blk-r,pf-r,fga-mr,fgm-mr,fta-r,ftm-r,tpa-mr,tpm-mr,NO
AUSTIIS01 ,1998,Isaac,Austin,ORL,gp-r,minutes-b,pts-r,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-b,fgm-r,fta-b,ftm-b,tpa-mr,tpm-mr,NO
AVENTAN01 ,1998,Anthony,Avent,UTA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILETH01 ,1998,Thurl,Bailey,UTA,gp-r,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-b,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILETO01 ,1998,Toby,Bailey,PHO,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAKERMA01 ,1998,Mark,Baker,TOR,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAKERVI01 ,1998,Vin,Baker,SEA,gp-r,minutes-r,pts-r,oreb-b,dreb-r,reb-b,asts-mr,stl-r,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-r,tpa-mr,tpm-mr,NO
BARKLCH01 ,1998,Charles,Barkley,HOU,gp-r,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-r,pf-r,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BARRODA01 ,1998,Dana,Barros,BOS,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-b,tpm-b,NO
BARRYBR01 ,1998,Brent,Barry,CHI,gp-r,minutes-r,pts-r,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-b,tpm-b,NO
BARRYDR01 ,1998,Drew,Barry,SEA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BARRYJO01 ,1998,Jon,Barry,SAC,gp-r,minutes-r,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-r,stl-b,blk-mr,pf-r,fga-mr,fgm-mr,fta-r,ftm-r,tpa-b,tpm-b,NO
BATTITO01 ,1998,Tony,Battie,BOS,gp-r,minutes-r,pts-r,oreb-b,dreb-b,reb-b,asts-mr,stl-r,blk-b,pf-b,fga-r,fgm-r,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BECKCO01  ,1998,Corey,Beck,TOT,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BECKCO01  ,1998,Corey,Beck,DET,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BECKCO01  ,1998,Corey,Beck,CHA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BENJABE01 ,1998,Benoit,Benjamin,PHI,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BENJACO01 ,1998,Corey,Benjamin,CHI,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BENNEMA01 ,1998,Mario,Bennett,CHI,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
